T_review,strategy,hiring_mode,seed,cum_pi,mean_K_active,n_hired_total,n_review_fired_total
10.0,horizon_optimizer,enable_hiring,1,6598.091888468036,86.5,0,17
10.0,horizon_optimizer,enable_hiring,2,6765.618738933614,91.16666666666667,0,13
10.0,horizon_optimizer,enable_hiring,3,6561.523498537821,84.66666666666667,0,19
10.0,horizon_optimizer,enable_hiring,4,7030.596842871724,83.5,0,20
10.0,all_H,enable_replenish_hiring,0,5307.373100217068,99.56666666666666,14,14
10.0,all_H,enable_replenish_hiring,1,5391.347095582548,99.7,10,10
10.0,all_H,enable_replenish_hiring,2,5507.922073725509,99.95,3,3
10.0,all_H,enable_replenish_hiring,3,5403.727976440741,99.55,16,16
10.0,all_H,enable_replenish_hiring,4,5613.95489666466,99.63333333333334,11,11
10.0,all_A,enable_replenish_hiring,0,7330.772631655665,98.58333333333333,26,26
10.0,all_A,enable_replenish_hiring,1,6899.15165715496,99.33333333333333,19,19
10.0,all_A,enable_replenish_hiring,2,6956.082017314709,99.71666666666667,21,21
10.0,all_A,enable_replenish_hiring,3,7231.78600949767,99.0,24,24
10.0,all_A,enable_replenish_hiring,4,7411.842139440645,98.75,30,30
10.0,all_T,enable_replenish_hiring,0,705.5226252682099,0.0,147,217
10.0,all_T,enable_replenish_hiring,1,620.9315466919178,0.0,147,217
10.0,all_T,enable_replenish_hiring,2,792.5242832512512,0.0,147,217
10.0,all_T,enable_replenish_hiring,3,470.838088275282,0.0,147,217
10.0,all_T,enable_replenish_hiring,4,539.0042346761194,0.0,147,217
10.0,greedy_with_switching,enable_replenish_hiring,0,3339.162037806371,68.9,132,132
10.0,greedy_with_switching,enable_replenish_hiring,1,3316.55966049187,69.58333333333333,141,148
10.0,greedy_with_switching,enable_replenish_hiring,2,2563.1772932322233,61.55,145,164
10.0,greedy_with_switching,enable_replenish_hiring,3,2065.6923299396763,52.333333333333336,147,170
10.0,greedy_with_switching,enable_replenish_hiring,4,2293.399165433365,62.28333333333333,138,138
10.0,horizon_brute,enable_replenish_hiring,0,7330.772631655665,98.58333333333333,26,26
10.0,horizon_brute,enable_replenish_hiring,1,6899.15165715496,99.33333333333333,19,19
10.0,horizon_brute,enable_replenish_hiring,2,6956.082017314709,99.71666666666667,21,21
10.0,horizon_brute,enable_replenish_hiring,3,7231.78600949767,99.0,24,24
10.0,horizon_brute,enable_replenish_hiring,4,7411.842139440645,98.75,30,30
10.0,horizon_optimizer,enable_replenish_hiring,0,5102.113750084592,82.5,23,23
10.0,horizon_optimizer,enable_replenish_hiring,1,5363.655024104586,88.33333333333333,16,16
10.0,horizon_optimizer,enable_replenish_hiring,2,6197.92340037627,94.16666666666667,16,16
10.0,horizon_optimizer,enable_replenish_hiring,3,5006.6188952031625,85.83333333333333,19,19
10.0,horizon_optimizer,enable_replenish_hiring,4,5242.101091612662,84.16666666666667,20,20
