T_review,strategy,hiring_mode,seed,cum_pi,mean_K_active,n_hired_total,n_review_fired_total,dial,alpha_mean,q_a,c_auto,p
10.0,greedy_with_switching,enable_hiring,3,6031.890552613448,84.66666666666667,0,19,q_a,,0.6,,
10.0,greedy_with_switching,enable_hiring,4,6398.877291988647,83.5,0,20,q_a,,0.6,,
10.0,horizon_optimizer,enable_hiring,0,6211.761448620356,81.33333333333333,0,23,q_a,,0.6,,
10.0,horizon_optimizer,enable_hiring,1,6032.378500627948,86.5,0,17,q_a,,0.6,,
10.0,horizon_optimizer,enable_hiring,2,6396.499088514805,91.16666666666667,0,13,q_a,,0.6,,
10.0,horizon_optimizer,enable_hiring,3,6031.890552613448,84.66666666666667,0,19,q_a,,0.6,,
10.0,horizon_optimizer,enable_hiring,4,6398.877291988647,83.5,0,20,q_a,,0.6,,
10.0,all_H,enable_hiring,0,5182.212068089262,90.83333333333333,0,11,q_a,,0.8,,
10.0,all_H,enable_hiring,1,5057.123805052437,92.5,0,9,q_a,,0.8,,
10.0,all_H,enable_hiring,2,5423.359193034261,97.5,0,3,q_a,,0.8,,
10.0,all_H,enable_hiring,3,5014.348222977881,90.16666666666667,0,12,q_a,,0.8,,
10.0,all_H,enable_hiring,4,5215.190978803554,91.0,0,11,q_a,,0.8,,
10.0,greedy_with_switching,enable_hiring,0,6474.263883189255,81.33333333333333,0,23,q_a,,0.8,,
10.0,greedy_with_switching,enable_hiring,1,6220.9496299079765,86.5,0,17,q_a,,0.8,,
10.0,greedy_with_switching,enable_hiring,2,6519.538971987742,91.16666666666667,0,13,q_a,,0.8,,
10.0,greedy_with_switching,enable_hiring,3,6208.434867921569,84.66666666666667,0,19,q_a,,0.8,,
10.0,greedy_with_switching,enable_hiring,4,6609.450475616337,83.5,0,20,q_a,,0.8,,
10.0,horizon_optimizer,enable_hiring,0,6474.263883189255,81.33333333333333,0,23,q_a,,0.8,,
10.0,horizon_optimizer,enable_hiring,1,6220.9496299079765,86.5,0,17,q_a,,0.8,,
10.0,horizon_optimizer,enable_hiring,2,6519.538971987742,91.16666666666667,0,13,q_a,,0.8,,
10.0,horizon_optimizer,enable_hiring,3,6208.434867921569,84.66666666666667,0,19,q_a,,0.8,,
10.0,horizon_optimizer,enable_hiring,4,6609.450475616337,83.5,0,20,q_a,,0.8,,
10.0,all_H,enable_hiring,0,5327.7093939375645,90.83333333333333,0,11,q_a,,1.0,,
10.0,all_H,enable_hiring,1,5161.734463606103,92.5,0,9,q_a,,1.0,,
10.0,all_H,enable_hiring,2,5451.341805628217,97.5,0,3,q_a,,1.0,,
